month,occupation_name,metric_name,value,unit,source_file
2023-01-01,情報処理・通信技術者,新規求人,16160,人,2023_2025
2023-02-01,情報処理・通信技術者,新規求人,16795,人,2023_2025
2023-03-01,情報処理・通信技術者,新規求人,16979,人,2023_2025
2023-04-01,情報処理・通信技術者,新規求人,16532,人,2023_2025
2023-05-01,情報処理・通信技術者,新規求人,16217,人,2023_2025
2023-06-01,情報処理・通信技術者,新規求人,17953,人,2023_2025
2023-07-01,情報処理・通信技術者,新規求人,17424,人,2023_2025
2023-08-01,情報処理・通信技術者,新規求人,17242,人,2023_2025
2023-09-01,情報処理・通信技術者,新規求人,17067,人,2023_2025
2023-10-01,情報処理・通信技術者,新規求人,18078,人,2023_2025
2023-11-01,情報処理・通信技術者,新規求人,17129,人,2023_2025
2023-12-01,情報処理・通信技術者,新規求人,17070,人,2023_2025
2024-01-01,情報処理・通信技術者,新規求人,17452,人,2023_2025
2024-02-01,情報処理・通信技術者,新規求人,18213,人,2023_2025
2024-03-01,情報処理・通信技術者,新規求人,17984,人,2023_2025
2024-04-01,情報処理・通信技術者,新規求人,17476,人,2023_2025
2024-05-01,情報処理・通信技術者,新規求人,17949,人,2023_2025
2024-06-01,情報処理・通信技術者,新規求人,16924,人,2023_2025
2024-07-01,情報処理・通信技術者,新規求人,18706,人,2023_2025
2024-08-01,情報処理・通信技術者,新規求人,17097,人,2023_2025
2024-09-01,情報処理・通信技術者,新規求人,17296,人,2023_2025
2024-10-01,情報処理・通信技術者,新規求人,19270,人,2023_2025
2024-11-01,情報処理・通信技術者,新規求人,16877,人,2023_2025
2024-12-01,情報処理・通信技術者,新規求人,17946,人,2023_2025
2025-01-01,情報処理・通信技術者,新規求人,18744,人,2023_2025
2025-02-01,情報処理・通信技術者,新規求人,17490,人,2023_2025
2025-03-01,情報処理・通信技術者,新規求人,19026,人,2023_2025
2025-04-01,情報処理・通信技術者,新規求人,19523,人,2023_2025
2025-05-01,情報処理・通信技術者,新規求人,17668,人,2023_2025
2025-06-01,情報処理・通信技術者,新規求人,17947,人,2023_2025
2025-07-01,情報処理・通信技術者,新規求人,18599,人,2023_2025
2025-08-01,情報処理・通信技術者,新規求人,16828,人,2023_2025
2025-09-01,情報処理・通信技術者,新規求人,16132,人,2023_2025
2025-10-01,情報処理・通信技術者,新規求人,18841,人,2023_2025
2025-11-01,情報処理・通信技術者,新規求人,16875,人,2023_2025
2025-12-01,情報処理・通信技術者,新規求人,16356,人,2023_2025
2023-01-01,情報処理・通信技術者,有効求人,49094,人,2023_2025
2023-02-01,情報処理・通信技術者,有効求人,49379,人,2023_2025
2023-03-01,情報処理・通信技術者,有効求人,50424,人,2023_2025
2023-04-01,情報処理・通信技術者,有効求人,50251,人,2023_2025
2023-05-01,情報処理・通信技術者,有効求人,49506,人,2023_2025
2023-06-01,情報処理・通信技術者,有効求人,50772,人,2023_2025
2023-07-01,情報処理・通信技術者,有効求人,51448,人,2023_2025
2023-08-01,情報処理・通信技術者,有効求人,52571,人,2023_2025
2023-09-01,情報処理・通信技術者,有効求人,51591,人,2023_2025
